"author","quote"
"Albert Einstein","La vie, c'est comme une bicyclette."
"Mark Twain","Le secret pour avancer est de commencer."
"Oscar Wilde","Soyez vous-même; tout le monde est déjà pris."
"Marie Curie","Rien dans la vie n'est à craindre."
"Vincent Van Gogh","Je rêve ma peinture, puis je peins mon rêve."
"René Descartes","Je pense, donc je suis."
"Victor Hugo","La musique exprime ce qui ne peut être dit."
"Blaise Pascal","Le cœur a ses raisons que la raison ignore."
"Jean-Paul Sartre","Nous sommes nos choix."
"Simone de Beauvoir","On ne naît pas femme, on le devient."
"Antoine de Saint-Exupéry","L'essentiel est invisible pour les yeux."
"Voltaire","Le doute n'est pas une condition agréable, mais la certitude est absurde."
"Émile Zola","Rien n'est noir, rien n'est blanc, tout est nuance."
"Jules Verne","Tout ce qui est dans la limite du possible doit être et sera accompli."
"Charles Baudelaire","L'art est long, et le temps est court."
"Louis Pasteur","La chance ne sourit qu'aux esprits bien préparés."
"Georges Sand","L'art est une démonstration dont la nature est la preuve."
"Jean de La Fontaine","Rien ne sert de courir, il faut partir à point."
"Paul Valéry","Le plus grand danger, c'est de poser une question et de ne pas attendre la réponse."
"Paul Éluard","Il n'y a pas de hasard, il n'y a que des rendez-vous."
"Jean Cocteau","Un vrai poète est celui qui inspire plus qu'il n'est inspiré."
"André Gide","Il vaut mieux être haï pour ce que vous êtes qu'être aimé pour ce que vous n'êtes pas."
"François Rabelais","Science sans conscience n'est que ruine de l'âme."
"Alexandre Dumas","Tous pour un, un pour tous."
"Nicolas de Chamfort","La plus perdue de toutes les journées est celle où l'on n'a pas ri."
